rank,finalWorth,personName,age,country,countryOfCitizenship,source,industries,organization,selfMade,gender,birthDate,title,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,total_tax_rate_country,latitude_country,longitude_country
17,59000,Julia Koch & family,61.59890485968515,United States,United States,Koch Industries,Diversified,Unknown,False,F,1962-04-12 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
19,58800,Jim Walton,75.44421629021218,United States,United States,Walmart,Fashion & Retail,"Arvest Bank Group, Inc.",False,M,1948-06-07 00:00:00,Chairman and CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
20,57600,Rob Walton & family,79.05544147843942,United States,United States,Walmart,Fashion & Retail,Walmart,False,M,1944-10-27 00:00:00,Director,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
21,56700,Alice Walton,74.11088295687885,United States,United States,Walmart,Fashion & Retail,Crystal Bridges Museum of American Art,False,F,1949-10-07 00:00:00,Philanthropist,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
22,54400,David Thomson & family,66.43121149897331,Canada,Canada,Media,Media & Entertainment,Thomson Reuters Corporation,False,M,1957-06-12 00:00:00,Chairman,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,24.5,56.130366,-106.346771
23,50100,Michael Dell,58.729637234770706,United States,United States,Dell Technologies,Technology,Dell Inc.,True,M,1965-02-23 00:00:00,Chairman and CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
24,47200,Gautam Adani,61.399041752224505,India,India,"Infrastructure, commodities",Diversified,Unknown,True,M,1962-06-24 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
25,45100,Phil Knight & family,85.72758384668036,United States,United States,Nike,Fashion & Retail,Nike,True,M,1938-02-24 00:00:00,Chairman,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
26,45000,Zhang Yiming,39.87679671457906,China,China,TikTok,Technology,ByteDance,True,M,1984-01-01 00:00:00,Founder,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
27,42900,Dieter Schwarz,84.14784394250513,Germany,Germany,Retail,Fashion & Retail,Unknown,False,M,1939-09-24 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
28,40100,François Pinault & family,87.23887748117727,France,France,Luxury goods,Fashion & Retail,Unknown,True,M,1936-08-21 00:00:00,Unknown,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,60.7,46.227638,2.213749
29,39100,Klaus-Michael Kuehne,86.45859000684463,Switzerland,Germany,Shipping,Logistics,Unknown,False,M,1937-06-02 00:00:00,Unknown,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
30,38900,Giovanni Ferrero,59.15400410677618,Belgium,Italy,"Nutella, chocolates",Food & Beverage,Unknown,False,M,1964-09-21 00:00:00,Unknown,117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,55.4,50.503887,4.469936
31,38300,Jacqueline Mars,84.10403832991102,United States,United States,"Candy, pet food",Food & Beverage,Unknown,False,F,1939-10-10 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
31,38300,John Mars,88.09034907597535,United States,United States,"Candy, pet food",Food & Beverage,Unknown,False,M,1935-10-15 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
33,38000,Li Ka-shing,95.42778918548939,Hong Kong,Hong Kong,Diversified,Diversified,CK Hutchison Holdings,True,M,1928-06-13 00:00:00,Senior Advisor,,,,,,,,,
34,35300,Ma Huateng,52.05201916495551,China,China,Internet media,Technology,Tencent Holdings,True,M,1971-10-29 00:00:00,Chairman and CEO,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
35,35000,Miriam Adelson & family,78.10266940451746,United States,United States,Casinos,Gambling & Casinos,Unknown,False,F,1945-10-10 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
35,35000,Ken Griffin,55.08829568788501,United States,United States,Hedge funds,Finance & Investments,Citadel LLC,True,M,1968-10-15 00:00:00,Founder & CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
37,34700,Mark Mateschitz,31.529089664613277,Austria,Austria,Red Bull,Food & Beverage,Unknown,False,M,1992-05-07 00:00:00,Unknown,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,51.4,47.516231,14.550072
38,33400,Robin Zeng,54.874743326488705,China,Hong Kong,Batteries,Automotive,Unknown,True,M,1969-01-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
39,32600,Tadashi Yanai & family,74.77344284736482,Japan,Japan,Fashion retail,Fashion & Retail,Unknown,True,M,1949-02-07 00:00:00,Unknown,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,36.204824,138.252924
40,32100,Len Blavatnik,66.46132785763176,United Kingdom,United States,"Music, chemicals",Diversified,Unknown,True,M,1957-06-01 00:00:00,Unknown,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,55.378051,-3.435973
41,31600,Alain Wertheimer,75.21971252566735,United States,France,Chanel,Fashion & Retail,Unknown,False,M,1948-08-28 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
41,31600,Gerard Wertheimer,72.85420944558521,United States,France,Chanel,Fashion & Retail,Unknown,False,M,1951-01-09 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
43,31200,Gianluigi Aponte,83.38945927446954,Switzerland,Switzerland,Shipping,Logistics,Unknown,True,M,1940-06-27 00:00:00,Unknown,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
43,31200,Rafaela Aponte-Diamant,78.64476386036961,Switzerland,Switzerland,Shipping,Logistics,Unknown,True,F,1945-03-26 00:00:00,Unknown,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
45,30200,Colin Zheng Huang,43.78918548939083,China,China,E-commerce,Technology,Unknown,True,M,1980-02-02 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
46,29700,Reinhold Wuerth & family,88.57768651608487,Germany,Germany,Fasteners,Manufacturing,Unknown,True,M,1935-04-20 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
47,29500,Lee Shau Kee,95.80013689253936,Hong Kong,Hong Kong,Real estate,Real Estate,Unknown,True,M,1928-01-29 00:00:00,Unknown,,,,,,,,,
48,28500,Jeff Yass,65.33607118412047,United States,United States,"Trading, investments",Finance & Investments,Unknown,True,M,1958-07-17 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
49,28100,Jim Simons,85.56331279945243,United States,United States,Hedge funds,Finance & Investments,Renaissance Technologies Corp.,True,M,1938-04-25 00:00:00,Founder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
50,27800,Stephen Schwarzman,76.75564681724846,United States,United States,Investments,Finance & Investments,Blackstone Group,True,M,1947-02-14 00:00:00,Chairman and CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
51,27400,Susanne Klatten,61.555099247091036,Germany,Germany,"BMW, pharmaceuticals",Automotive,Unknown,False,F,1962-04-28 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
52,27000,Gina Rinehart,69.76865160848733,Australia,Australia,Mining,Metals & Mining,Hancock Prospecting,False,F,1954-02-09 00:00:00,Executive Chairman,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,47.4,-25.274398,133.775136
53,26700,William Ding,52.12867898699521,China,China,Online games,Technology,Unknown,True,M,1971-10-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
54,26600,Germán Larrea Mota Velasco & family,70.05886379192334,Mexico,Mexico,Mining,Metals & Mining,Unknown,False,M,1953-10-26 00:00:00,Unknown,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,55.1,23.634501,-102.552784
55,25600,Shiv Nadar,78.33264887063655,India,India,software services,Technology,Unknown,True,M,1945-07-18 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
56,25500,Low Tuck Kwong,75.58384668035592,Indonesia,Indonesia,Coal,Energy,Unknown,True,M,1948-04-17 00:00:00,Unknown,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,30.1,-0.789275,113.921327
57,25300,Thomas Peterffy,79.129363449692,United States,United States,Discount brokerage,Finance & Investments,Unknown,True,M,1944-09-30 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
58,25200,Andrey Melnichenko & family,51.6933607118412,United Arab Emirates,Russia,"Fertilizers, coal",Metals & Mining,Unknown,True,M,1972-03-08 00:00:00,Unknown,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,15.9,23.424076,53.847818
59,24600,Stefan Quandt,57.52498288843258,Germany,Germany,BMW,Automotive,Unknown,False,M,1966-05-09 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
60,24400,MacKenzie Scott,53.61259411362081,United States,United States,Amazon,Technology,Unknown,False,F,1970-04-07 00:00:00,Philanthropist,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
61,24200,R. Budi Hartono,82.87474332648871,Indonesia,Indonesia,"Banking, tobacco",Finance & Investments,Unknown,False,M,1941-01-01 00:00:00,Unknown,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,30.1,-0.789275,113.921327
62,23700,Vladimir Potanin,62.86926762491444,Russia,Russia,Metals,Metals & Mining,Unknown,True,M,1961-01-03 00:00:00,Unknown,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,61.52401,105.318756
63,23500,Jack Ma,59.18412046543463,China,China,E-commerce,Technology,Unknown,True,M,1964-09-10 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
64,23400,He Xiangjian & family,81.26762491444217,China,China,Home appliances,Manufacturing,Unknown,True,M,1942-08-11 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
65,23100,Iris Fontbona & family,80.87611225188228,Chile,Chile,Mining,Metals & Mining,Unknown,False,F,1943-01-01 00:00:00,Unknown,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80.0,34.0,-35.675147,-71.542969
65,23100,Michael Hartono,84.12594113620807,Indonesia,Indonesia,"Banking, tobacco",Manufacturing,Unknown,False,M,1939-10-02 00:00:00,Unknown,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,30.1,-0.789275,113.921327
67,22900,James Ratcliffe,70.87474332648871,United Kingdom,United Kingdom,Chemicals,Manufacturing,Unknown,True,M,1953-01-01 00:00:00,Unknown,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,55.378051,-3.435973
68,22600,Cyrus Poonawalla,82.51882272416154,India,India,Vaccines,Healthcare,Unknown,False,M,1941-05-11 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
69,22400,Masayoshi Son,66.26694045174538,Japan,Japan,"Internet, telecom",Telecom,SoftBank Group Corp.,True,M,1957-08-11 00:00:00,CEO,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,36.204824,138.252924
70,22100,Vladimir Lisin,67.52908966461328,Russia,Russia,"Steel, transport",Metals & Mining,Unknown,True,M,1956-05-07 00:00:00,Unknown,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,61.52401,105.318756
71,22000,Emmanuel Besnier,53.163586584531146,France,France,Cheese,Food & Beverage,Unknown,False,M,1970-09-18 00:00:00,Unknown,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,60.7,46.227638,2.213749
72,21600,Abigail Johnson,61.91101984941821,United States,United States,Fidelity,Finance & Investments,Fidelity Investments,False,F,1961-12-19 00:00:00,CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
72,21600,Leonid Mikhelson & family,68.26830937713895,Russia,Russia,"Gas, chemicals",Energy,Unknown,True,M,1955-08-11 00:00:00,Unknown,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,61.52401,105.318756
74,21200,Lukas Walton,37.16084873374401,United States,United States,Walmart,Fashion & Retail,Unknown,False,M,1986-09-19 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
74,21200,Wang Wei,53.12799452429842,China,China,Package delivery,Service,Unknown,True,M,1970-10-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
76,21100,Jensen Huang,60.747433264887064,United States,United States,Semiconductors,Technology,Nvidia,True,M,1963-02-17 00:00:00,CEO & President,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
77,21000,Leonard Lauder,90.66392881587953,United States,United States,Estee Lauder,Fashion & Retail,The Estée Lauder Companies,False,M,1933-03-19 00:00:00,Chairman Emeritus,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
77,21000,Takemitsu Takizaki,78.43668720054757,Japan,Japan,Sensors,Manufacturing,Unknown,True,M,1945-06-10 00:00:00,Unknown,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,36.204824,138.252924
79,20900,Alexey Mordashov & family,58.1409993155373,Russia,Russia,"Steel, investments",Metals & Mining,Unknown,True,M,1965-09-26 00:00:00,Unknown,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,61.52401,105.318756
80,20500,Vagit Alekperov,73.21013004791239,Russia,Russia,Oil,Energy,Unknown,True,M,1950-09-01 00:00:00,Unknown,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,61.52401,105.318756
81,20200,"Thomas Frist, Jr. & family",85.26488706365502,United States,United States,Hospitals,Healthcare,Unknown,True,M,1938-08-12 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
82,19600,Andrew Forrest,61.9958932238193,Australia,Australia,Mining,Metals & Mining,Unknown,True,M,1961-11-18 00:00:00,Unknown,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,47.4,-25.274398,133.775136
83,19100,Ray Dalio,74.27515400410678,United States,United States,Hedge funds,Finance & Investments,Bridgewater Associates,True,M,1949-08-08 00:00:00,Founder & Co-Chief Investment Officer,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
84,19000,Eric Li,60.46269678302532,China,China,Automobiles,Automotive,Unknown,True,M,1963-06-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
84,19000,Wang Wenyin,55.71252566735113,China,China,"Mining, copper products",Metals & Mining,Unknown,True,M,1968-03-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
86,18900,Eyal Ofer,73.45927446954141,Monaco,Israel,"Real estate, shipping",Diversified,Unknown,False,M,1950-06-02 00:00:00,Unknown,,,"$7,184,844,193 ",,,,,43.7384176,7.4246158
86,18900,Qin Yinglin,58.5845311430527,China,China,Pig breeding,Food & Beverage,Unknown,True,M,1965-04-17 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
88,18700,Wang Chuanfu,57.752224503764545,China,China,"Batteries, automobiles",Automotive,Unknown,True,M,1966-02-15 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
89,18500,Harold Hamm & family,77.93292265571526,United States,United States,Oil & gas,Energy,Continental Resources Inc. ,True,M,1945-12-11 00:00:00,Chairman and CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
89,18500,David Tepper,66.18206707734429,United States,United States,Hedge funds,Finance & Investments,Appaloosa Management,True,M,1957-09-11 00:00:00,President and Founder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
89,18500,Gennady Timchenko,71.0198494182067,Russia,Russia,"Oil, gas",Energy,Unknown,True,M,1952-11-09 00:00:00,Unknown,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,61.52401,105.318756
92,18000,Daniel Gilbert,61.831622176591374,United States,United States,Quicken Loans,Finance & Investments,Unknown,True,M,1962-01-17 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
93,17700,Lakshmi Mittal,73.4236824093087,United Kingdom,India,Steel,Metals & Mining,ArcelorMittal (ADR),False,M,1950-06-15 00:00:00,Chairman and CEO,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,55.378051,-3.435973
94,17500,Steve Cohen,67.43326488706366,United States,United States,Hedge funds,Finance & Investments,Point72 Asset Management,True,M,1956-06-11 00:00:00,Founder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
94,17500,Carl Icahn,87.75085557837097,United States,United States,Investments,Finance & Investments,Icahn Capital Management,True,M,1936-02-16 00:00:00,Founder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
94,17500,Savitri Jindal & family,73.66187542778918,India,India,Steel,Metals & Mining,Unknown,False,F,1950-03-20 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
97,17400,Donald Bren,91.51813826146476,United States,United States,Real estate,Real Estate,Irvine Company,True,M,1932-05-11 00:00:00,Chairman,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
97,17400,"John Menard, Jr.",83.81930184804928,United States,United States,Home improvement stores,Fashion & Retail,"Menard, Inc.",True,M,1940-01-22 00:00:00,Founder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
99,17100,Rupert Murdoch & family,92.68720054757016,United States,United States,"Newspapers, TV network",Media & Entertainment,News Corp Class A,False,M,1931-03-11 00:00:00,Chairman and CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
100,16700,Vicky Safra & family,70.87474332648871,Switzerland,Brazil,Banking,Finance & Investments,Unknown,False,F,1953-01-01 00:00:00,Unknown,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
101,16500,"Theo Albrecht, Jr. & family",72.87611225188228,Germany,Germany,"Aldi, Trader Joe's",Fashion & Retail,Unknown,False,M,1951-01-01 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
101,16500,Renata Kellnerova & family,56.37234770704997,Czech Republic,Czech Republic,"Finance, telecommunications",Finance & Investments,Unknown,False,F,1967-07-04 00:00:00,Unknown,116.48,2.8,"$246,489,245,495 ",64.1,100.7,79.0,46.1,49.817492,15.472962
103,16300,Li Xiting,72.87611225188228,China,Singapore,medical devices,Healthcare,Unknown,True,M,1951-01-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
104,16200,Stefan Persson,76.12046543463381,Sweden,Sweden,H&M,Fashion & Retail,Hennes & Mauritz Unsponsored ADR,False,M,1947-10-04 00:00:00,Chairman,110.51,1.8,"$530,832,908,738 ",67.0,126.6,82.5,49.1,60.128161,18.643501
104,16200,Eric Schmidt,68.55852156057495,United States,United States,Google,Technology,Unknown,True,M,1955-04-27 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
106,16000,Michael Platt,55.66598220396988,Switzerland,United Kingdom,Hedge funds,Finance & Investments,BlueCrest Capital Management,True,M,1968-03-18 00:00:00,Founder ,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
107,15900,Pang Kang,67.82751540041068,China,China,Soy sauce,Food & Beverage,Unknown,True,M,1956-01-19 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
108,15800,Karl Albrecht Jr. & family,,Germany,Germany,Supermarkets,Fashion & Retail,Unknown,False,M,,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
108,15800,Beate Heister,,Germany,Germany,Supermarkets,Fashion & Retail,Unknown,False,F,,Unknown,,,,,,,,,
108,15800,Jorge Paulo Lemann & family,84.22724161533196,Switzerland,Brazil,Beer,Food & Beverage,Unknown,True,M,1939-08-26 00:00:00,"Investor, Philanthropist",99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
108,15800,Peter Woo,77.19917864476386,Hong Kong,Hong Kong,Real estate,Real Estate,Unknown,False,M,1946-09-05 00:00:00,Unknown,,,,,,,,,
112,15600,Dilip Shanghvi,68.12867898699521,India,India,Pharmaceuticals,Healthcare,Unknown,True,M,1955-10-01 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
113,15500,Robert Pera,45.68925393566051,United States,United States,Wireless networking,Technology,Ubiquiti,True,M,1978-03-10 00:00:00,Chief Executive Officer,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
114,15300,Radhakishan Damani,68.87611225188228,India,India,"Retail, investments",Fashion & Retail,Unknown,True,M,1955-01-01 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
115,15200,Huang Shilin,56.876112251882276,China,China,Batteries,Automotive,Unknown,True,M,1967-01-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
